City,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bredasdorp,-34.5322,20.0403,56.41,88,25,1.19,ZA,1669002142
1,port elizabeth,-33.918,25.5701,60.31,95,0,4.61,ZA,1669002142
2,aklavik,68.2191,-135.0107,7.5,97,100,5.61,CA,1669002143
3,busselton,-33.65,115.3333,72.9,37,0,3.42,AU,1669002143
4,fortuna,40.5982,-124.1573,45.52,92,0,6.91,US,1669002143
5,ushuaia,-54.8,-68.3,46.06,66,20,1.14,AR,1669001968
6,vaini,-21.2,-175.2,82.56,69,75,8.05,TO,1669002144
7,alta floresta,-9.8756,-56.0861,70.41,96,34,3.4,BR,1669002144
8,lebu,-37.6167,-73.65,53.02,81,25,19.37,CL,1669002145
9,portland,45.5234,-122.6762,43.63,60,0,9.22,US,1669001853
10,bethel,41.3712,-73.414,29.48,53,0,10.36,US,1669002145
11,barrow,71.2906,-156.7887,21.22,79,100,13.8,US,1669002145
12,cape town,-33.9258,18.4232,62.1,74,0,11.01,ZA,1669002000
13,bundibugyo,0.7414,30.0417,66.33,84,91,0.78,UG,1669002146
14,licata,37.1071,13.9461,54.23,76,0,16.84,IT,1669002146
15,torbay,47.6666,-52.7314,46.76,97,100,28.77,CA,1669002147
16,dormidontovka,47.7702,134.9076,30.58,44,33,11.99,RU,1669002147
17,rikitea,-23.1203,-134.9692,67.86,86,100,15.5,PF,1669002147
18,finschhafen,-6.6024,147.8681,87.21,67,94,7.78,PG,1669002148
19,castro,-24.7911,-50.0119,61.81,91,91,6.8,BR,1669002148
20,chulym,55.0997,80.9572,7.61,95,100,6.67,RU,1669002148
21,esperance,-33.8667,121.9,61.68,54,39,12.28,AU,1669002149
22,talnakh,69.4865,88.3972,-22.52,96,96,3.47,RU,1669002149
23,atuona,-9.8,-139.0333,77.49,72,49,8.61,PF,1669002150
24,qax,41.4225,46.9242,41.99,58,69,3.58,AZ,1669002150
25,new norfolk,-42.7826,147.0587,49.71,60,100,5.01,AU,1669002150
26,venice,27.0998,-82.4543,60.98,97,75,17.27,US,1669002063
27,jamestown,42.097,-79.2353,24.39,61,100,12.66,US,1669002151
28,el alto,-4.2714,-81.2147,62.64,85,6,15.75,PE,1669002151
29,mpika,-11.8343,31.4529,68.36,58,84,2.84,ZM,1669002151
30,khandyga,62.6667,135.6,-20.0,97,44,2.17,RU,1669002152
31,sooke,48.3746,-123.7276,43.66,91,100,4.05,CA,1669002152
32,mataura,-46.1927,168.8643,58.48,64,100,2.37,NZ,1669002153
33,tiksi,71.6872,128.8694,-16.33,100,97,3.0,RU,1669002153
34,la peca,-5.6111,-78.435,70.21,83,70,2.55,PE,1669002153
35,ulaanbaatar,47.9077,106.8832,-0.27,78,56,2.24,MN,1669002154
36,naze,28.3667,129.4833,74.32,75,38,7.83,JP,1669002154
37,punta arenas,-53.15,-70.9167,48.31,66,75,14.97,CL,1669002143
38,chicama,-7.8447,-79.1469,61.34,81,59,4.41,PE,1669002154
39,carroll,39.5501,-77.0164,27.03,51,0,5.75,US,1669002155
40,puro,12.4841,123.3827,85.23,72,98,9.75,PH,1669002155
41,faya,18.3851,42.4509,51.91,60,48,5.68,SA,1669002155
42,chernyshevskiy,63.0128,112.4714,-10.03,96,64,2.53,RU,1669002156
43,xining,36.6167,101.7667,34.43,41,61,0.07,CN,1669001958
44,port macquarie,-31.4333,152.9167,86.9,28,53,8.59,AU,1669002156
45,ilulissat,69.2167,-51.1,23.02,68,75,6.91,GL,1669002156
46,lagoa,39.05,-27.9833,64.18,92,91,8.46,PT,1669002157
47,hami,42.8,93.45,45.14,31,32,1.3,CN,1669002157
48,coihaique,-45.5752,-72.0662,47.01,70,0,3.44,CL,1669002128
49,harper,4.375,-7.7169,75.99,86,100,2.13,LR,1669002157
50,nenjiang,49.1833,125.2167,20.82,36,1,13.38,CN,1669002157
51,severo-kurilsk,50.6789,156.125,37.49,78,100,7.31,RU,1669002158
52,garowe,8.4054,48.4845,71.91,68,95,10.25,SO,1669002158
53,havelock,34.8791,-76.9013,43.93,58,0,9.22,US,1669002158
54,hithadhoo,-0.6,73.0833,80.02,78,58,6.87,MV,1669002159
55,hilo,19.7297,-155.09,76.73,79,75,5.75,US,1669002159
56,hermanus,-34.4187,19.2345,56.8,87,16,5.95,ZA,1669002159
57,aripuana,-9.1667,-60.6333,72.34,93,15,1.81,BR,1669002159
58,hobart,-42.8794,147.3294,50.05,69,75,17.27,AU,1669002160
59,turukhansk,65.8167,87.9833,-18.94,100,100,4.47,RU,1669002160
60,kruisfontein,-34.0033,24.7314,49.89,70,2,2.53,ZA,1669002160
61,pisco,-13.7,-76.2167,64.45,88,0,4.61,PE,1669002161
62,avarua,-21.2078,-159.775,75.25,60,40,11.5,CK,1669002161
63,faanui,-16.4833,-151.75,78.84,73,22,17.47,PF,1669002161
64,valparai,10.3667,76.9667,64.67,64,100,2.35,IN,1669002161
65,butaritari,3.0707,172.7902,80.91,79,11,12.71,KI,1669002162
66,conceicao do araguaia,-8.2578,-49.2647,71.89,91,60,1.36,BR,1669002162
67,mazara del vallo,37.6641,12.588,62.55,59,61,23.33,IT,1669002162
68,gillette,44.2911,-105.5022,27.52,50,0,8.05,US,1669002163
69,tezu,27.9167,96.1667,76.55,25,53,3.02,IN,1669002045
70,kavieng,-2.5744,150.7967,85.42,60,98,9.91,PG,1669002163
71,tongliao,43.6125,122.2653,32.85,48,1,12.08,CN,1669002163
72,fort nelson,58.8053,-122.7002,18.99,91,75,2.3,CA,1669002164
73,kitsuki,33.4167,131.6167,64.2,68,75,11.5,JP,1669002164
74,gweta,-20.1833,25.2333,75.97,58,22,13.65,BW,1669002164
75,arraial do cabo,-22.9661,-42.0278,72.09,91,1,12.71,BR,1669002165
76,port alfred,-33.5906,26.891,62.85,78,0,4.76,ZA,1669002165
77,santa cruz de la palma,28.6835,-17.7642,67.14,88,100,12.66,ES,1669001952
78,stromness,58.965,-3.296,37.36,72,10,16.44,GB,1669002165
79,pacific grove,36.6177,-121.9166,57.65,65,0,3.44,US,1669001940
80,pec,42.6591,20.2883,43.9,98,100,1.59,XK,1669002165
81,barra do garcas,-15.89,-52.2567,72.75,77,20,3.11,BR,1669002076
82,tecpan,14.7623,-90.9947,54.9,97,100,5.37,GT,1669002166
83,puerto ayora,-0.7393,-90.3518,68.56,98,86,1.01,EC,1669002166
84,klaksvik,62.2266,-6.589,45.52,85,100,25.79,FO,1669002166
85,georgetown,5.4112,100.3354,86.9,80,20,4.61,MY,1669002167
86,miles city,46.4083,-105.8406,25.77,68,0,9.22,US,1669002167
87,nyurba,63.2842,118.3319,-10.01,99,97,2.26,RU,1669002167
88,rio brilhante,-21.8019,-54.5464,75.6,62,75,5.86,BR,1669002167
89,ampanihy,-24.7,44.75,70.5,66,61,10.51,MG,1669002168
